Sad horse, sprinter, 6053.150299999999, 11097.166799999999
10, steady, 20194.0717, 37361.5173
10, sprinter, 5044.9971, 10086.1207
11, steady, 14132.452, 25228.091200000003
11, sprinter, 8063.8896, 14132.452
12, steady, 13121.7417, 24226.1047
12, sprinter, 4034.8363000000004, 7055.0993
13, steady, 8063.8896, 15142.6251
13, sprinter, 5044.9971, 9077.474699999999
14, steady, 11097.166799999999, 21201.9481
14, sprinter, 3019.7683, 7055.0993
Thunder Dash, steady, 13121.7417, 25228.091200000003
Thunder Dash, sprinter, 11097.166799999999, 16149.1365
Steady Star, steady, 7055.0993, 13121.7417
Steady Star, sprinter, 10086.1207, 17162.0259
Final Sprint, steady, 9077.474699999999, 18176.0885
Final Sprint, sprinter, 7055.0993, 14132.452
Early Bird, steady, 7055.0993, 13121.7417
Early Bird, sprinter, 7055.0993, 12106.9817
Maximillion, steady, 8063.8896, 15142.6251
Maximillion, sprinter, 6053.150299999999, 12106.9817
Oreo Milkshake, steady, 7055.0993, 13121.7417
Oreo Milkshake, sprinter, 10086.1207, 17162.0259
Neighvana, steady, 6053.150299999999, 11097.166799999999
Neighvana, sprinter, 11097.166799999999, 19191.068000000003
Spray Tan, steady, 7055.0993, 12106.9817
Spray Tan, sprinter, 5044.9971, 10086.1207
Chillhooves, steady, 8063.8896, 14132.452
Chillhooves, sprinter, 6053.150299999999, 11097.166799999999
Sad horse, steady, 10086.1207, 19191.068000000003
Sad horse, sprinter, 7055.0993, 12106.9817
10, steady, 11097.166799999999, 21201.9481
10, sprinter, 4034.8363000000004, 8063.8896
11, steady, 10086.1207, 19191.068000000003
11, sprinter, 6053.150299999999, 12106.9817
12, steady, 9077.474699999999, 17162.0259
12, sprinter, 5044.9971, 8063.8896
13, steady, 11097.166799999999, 21201.9481
13, sprinter, 6053.150299999999, 10086.1207
14, steady, 12106.9817, 23222.515600000002
14, sprinter, 4034.8363000000004, 7055.0993
Thunder Dash, steady, 9077.474699999999, 17162.0259
Thunder Dash, sprinter, 7055.0993, 13121.7417
Steady Star, steady, 6053.150299999999, 11097.166799999999
Steady Star, sprinter, 6053.150299999999, 13121.7417
Final Sprint, steady, 12106.9817, 23222.515600000002
Final Sprint, sprinter, 6053.150299999999, 10086.1207
Early Bird, steady, 9077.474699999999, 16149.1365
Early Bird, sprinter, 6053.150299999999, 11097.166799999999
Maximillion, steady, 5044.9971, 10086.1207
Maximillion, sprinter, 5044.9971, 10086.1207
Oreo Milkshake, steady, 14132.452, 26239.301900000002
Oreo Milkshake, sprinter, 7055.0993, 13121.7417
Neighvana, steady, 7055.0993, 13121.7417
Neighvana, sprinter, 7055.0993, 13121.7417
Spray Tan, steady, 9077.474699999999, 16149.1365
Spray Tan, sprinter, 5044.9971, 10086.1207
Chillhooves, steady, 7055.0993, 14132.452
Chillhooves, sprinter, 6053.150299999999, 10086.1207
Sad horse, steady, 17162.0259, 32298.7154
Sad horse, sprinter, 11097.166799999999, 19191.068000000003
10, steady, 7055.0993, 13121.7417
10, sprinter, 4034.8363000000004, 7055.0993
11, steady, 8063.8896, 15142.6251
11, sprinter, 4034.8363000000004, 9077.474699999999
12, steady, 21201.9481, 39368.579600000005
12, sprinter, 4034.8363000000004, 6053.150299999999
13, steady, 11097.166799999999, 21201.9481
13, sprinter, 5044.9971, 10086.1207
14, steady, 11097.166799999999, 21201.9481
14, sprinter, 6053.150299999999, 9077.474699999999
Thunder Dash, steady, 10086.1207, 18176.0885
Thunder Dash, sprinter, 5044.9971, 10086.1207
Steady Star, steady, 6053.150299999999, 11097.166799999999
Steady Star, sprinter, 7055.0993, 12106.9817
Final Sprint, steady, 7055.0993, 13121.7417
Final Sprint, sprinter, 9077.474699999999, 16149.1365
Early Bird, steady, 7055.0993, 13121.7417
Early Bird, sprinter, 4034.8363000000004, 8063.8896
Maximillion, steady, 6053.150299999999, 11097.166799999999
Maximillion, sprinter, 8063.8896, 14132.452
Oreo Milkshake, steady, 7055.0993, 12106.9817
Oreo Milkshake, sprinter, 7055.0993, 13121.7417
Neighvana, steady, 9077.474699999999, 17162.0259
