name,behavior,time_500,time_1000,time_1500,time_2000
Final Sprint, frontrunner, 3022.4046, 5046.5315, 8070.993100000001, 12110.2029
Early Bird, steady, 6050.3853, 12110.2029, 18155.9941, 23191.2431
Early Bird, sprinter, 9081.372899999998, 15138.051899999999, 18155.9941, 22183.230799999998
Early Bird, finisher, 10094.0281, 15138.051899999999, 19159.9218, 22183.230799999998
Early Bird, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 15138.051899999999
Maximillion, steady, 7061.107800000001, 14131.225999999999, 20174.3124, 26220.9308
Maximillion, sprinter, 6050.3853, 10094.0281, 14131.225999999999, 17148.9693
Maximillion, finisher, 8070.993100000001, 13119.2636, 16146.9875, 19159.9218
Maximillion, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 17148.9693
Oreo Milkshake, steady, 12110.2029, 22183.230799999998, 31258.2092, 40352.2226
Oreo Milkshake, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 22183.230799999998
Oreo Milkshake, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
Oreo Milkshake, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 20174.3124
Neighvana, steady, 11101.2326, 21180.0778, 30253.3062, 39339.9396
Neighvana, sprinter, 8070.993100000001, 14131.225999999999, 19159.9218, 24199.9628
Neighvana, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Neighvana, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Spray Tan, steady, 11101.2326, 20174.3124, 29251.233, 37315.2105
Spray Tan, sprinter, 11101.2326, 18155.9941, 24199.9628, 30253.3062
Spray Tan, finisher, 6050.3853, 11101.2326, 14131.225999999999, 17148.9693
Spray Tan, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 19159.9218
Chillhooves, steady, 11101.2326, 20174.3124, 29251.233, 38326.733
Chillhooves, sprinter, 8070.993100000001, 14131.225999999999, 20174.3124, 25209.0436
Chillhooves, finisher, 10094.0281, 15138.051899999999, 19159.9218, 22183.230799999998
Chillhooves, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 14131.225999999999
Sad horse, steady, 11101.2326, 22183.230799999998, 32260.099299999998, 42369.2199
Sad horse, sprinter, 10094.0281, 18155.9941, 25209.0436, 32260.099299999998
